Damtetoth,Marwunax
Mauvea,Nola-Kulane
Orenna,Thenaligano
Vukea,Thunukukane
Lovi,Egumiala
Vuthio,Elanatho
Maagia,Vuma-Thekali
Olane,Egena-Vakanu
Kaunnio,Kolakulane
Inagu,Veomelo
Thari,Egena-Vakanu
Gelthu,Elanageane
Vulea,Thenalanathi
Gauvi,Elanupine
Nileo,Nulakiala
Zokko,Thunukavea
Kaulai,Thunukamino
Zavi,Katho-Olukena
Maugia,Vunakekali
Lerea,Elanavone
Manlo,Nalakigano
Barram,Firepride
Bhelrak,Trollhorn
Rotkum,Bigbelt
Gramnam,Ironshield
Emgrun,Blackmane
Belgrun,Cutganehk
Hulman,Gafduram
Emkahm,Daebrenn
Krumrus,Dretgen
Bhargran,Brurtharark
Armmor,Keenforce
Hulthrum,Goblinrest
Dalrik,Madmight
Balnyl,Kindfists
Emgrum,Fireback
Regdal,Fakert
Ebren,Hakurirt
Kromryl,Drozzur
Galtharm,Rankerk
Daertharm,Doldiveg
Thuldar,Ironale
Amkuhm,Moltenbreaker
Malrom,Grayhandle
Gulnyl,Burrowhorn
Thodram,Burrowfound
Gulnar,Drordak
Berkohm,Glaharr
Galthrum,Gleldort
Horduhr,Rabrerem
Thaldram,Strarart
Khardal,Hammershaper
Thelkahm,Goldhammer
Tynom,Frostpast
Mormek,Smugboots
Bhelnom,Boldbrow
Guldren,Dronheln
Rangrom,Defduhk
Bennam,Hanherun
Armdor,Lumnehk
Harmar,Redert
Gimdor,Evenhorn
Bundram,Broodguard
Grenmin,Sternbleeder
Karkam,Lastale
Muirnir,Frosthammer
Bhelkyl,Camnihort
Belnar,Dungahk
Baermir,Dengur
Adkom,Fomnok
Addor,Cebrerr
Umdek,Loudbeard
Horgus,Deepbreaker
Brumnam,Giantheart
Bramryl,Fireblade
Armkyl,Darkhandle
Thorthrum,Hunharick
Gremrum,Dotgahr
Gernus,Grulbrum
Thelnik,Drodar
Adrim,Beldan
Vonkom,Kindpass
Torgus,Keenmight
Daerdar,Silverbraid
Urmmyr,Starkward
Thalmand,Stoutkind
Muirgrun,Cengoreck
Krommur,Strubrurr
Murrik,Stronherek
Guldrum,Hurdok
Malgus,Fetgenn
Guliggs,Halfaxe
Thurthrum,Keenanvil
Thodur,Bronzebelch
Magthran,Coldale
Kramnyl,Stonemask
Kharmir,Glangert
Rotmand,Gutganaln
Galrak,Rengon
Hjalmund,Tunherahk
Bromrigg,Strarohk
Kharrus,Firestrike
Hjulmus,Firebuster
Granrim,Steelgrace
Vonduhr,Moltenforce
Ermgrim,Wildfinder
Gimnam,Bruder
Grymyl,Fatgorack
Banthrun,Grathgim
Emmir,Marok
Dalmond,Mamnanahr
Regnyl,Steelward
Armnur,Trollhandle
Torrus,Frozenkind
Randrum,Sternpast
Bhelbek,Coldrock
Daergran,Refdark
Galgrom,Dotgig
Galrik,Bonkok
Dardek,Tuzzuln
Grytharm,Threfdukor
Jynnyss,Bigfound
Gwanwaen,Steelbranch
Branrielle,Bronzebelch
Brallemura,Giantbrow
Maevvian,Kindstand
Redsael,Celbregen
Lyssnis,Gruldart
Maermora,Glalbraln
Nalmyla,Glurehik
Bryllemyla,Dronhohr
Karnia,Burrowfront
Brylnip,Greatstone
Elros,Ironbraid
Gwinsael,Battlefound
Tishnys,Strongfury
Bretri,Rerdam
Tisnia,Banguvort
Gwannar,Corthum
Barvian,Hofden
Bronniss,Gunherk
Byltyn,Goldmantle
Raenmora,Sternkith
Karnar,Stoutale
Gwanniss,Stonemantle
Barra,Thunderfall
Reynmyla,Drutgeln
Raensyl,Menkek
Bryllerin,Toldom
Tysnar,Gafduhaln
Dimlyl,Rotgehk
Bellethel,Moltenbeard
Jenva,Mightforce
Brolryn,Stoutsong
Rynlin,Broodforge
Brallevia,Bloodstorm
Torgwyn,Gaetgam
Dearnyss,Fumnen
Nysgiel,Bardaln
Brandora,Gronhonuk
Eldish,Tathger
Lysnys,Graymane
Gwynnas,Darkmask
Tisnora,Trollpride
Jynwin,Deephand
Bellethiel,Firsteye
Soldille,Braelluneln
Gwynnyl,Lurdihk
Lessnan,Drurthehihk
Brultyn,Glekonar
Jinsael,Lehurk
Tazva,Bouldereyes
Bylthiel,Lightbeard
Reynmyla,Truebuster
Edgiel,Thunderboot
Raenros,Stoneeye
Gwynryn,Bofdem
Gwynla,Fehiver
Annora,Straenkerk
Nasrielle,Cordek
Barthiel,Grungigahr
Tasnura,Halfbelch
Bronnas,Gianttankard
Branwyn,Madkind
Daernia,Starkbottom
Misgiel,Coldfront
Jynvian,Culbren
Bronlin,Muthgonick
Brynras,Ferugik
Bretnyl,Throzzan
Gwynlen,Lefdock
Brilleryl,Broadheart
Anri,Lighttankard
Neslyl,Broodfall
Jindora,Braveanvil
Ryndora,Blackheart
Naertyn,Humnahenn
Myrdora,Drozzehem
Bralnera,Duthgaren
Brannis,Mongur
Bonnys,Grurthireg
Tyshnia,Grayhelm
Lesleen,Goldreach
Sollyl,Goldenbelt
Torthiel,Starkmask
Ketlen,Frozenpass
Lasdora,Gramnehk
Tysdeth,Gankeck
Ketniss,Brungohurt
Lasdielle,Lerthehk
Lysnas,Dolluvem
Tazmura,Hardbelch
Gwenri,Brawnaxe
Bonnwin,Lastbleeder
Rynnas,Grayblood
Nysglia,Bloodbreaker
Barmora,Rollevirt
Bralwyn,Glenhugonn
Mistma,Duderr
Jennbera,Thrunholn
Jennlinn,Glemnavork
Karrghed,Larbu
Xugar,Shuoth
Snubub,Bogudar
Largakh,Duszog
Hagob,Shamtwog
Ambilge,Gamtub
Woggugat,Ushh
Gurak,Gorr
Zinsbog,Dradum
Wudhagh,Orbuolg
Klapdud,Dushub
Baronk,Uftgrak
Buomaugh,Guraham
Pomgulg,Dumuu
Zoughat,Gambush
Vurbag,Ugrurump
Zilug,Crommog
Shat,Uzgubog
Olur,Logrgan
Dushnamub,Gruak
Zildud,Orkgdum
Karrghed,Durorag
Wilaktug,Burbbek
Oggugat,Khazol
Mudagog,Coblgash
Omaghed,Shurgakh
Yahg,Bagdgurz
Gunag,Bonkzag
Dretkag,Gurl
Pitgurat,Uzuzog
Xaakt,Borm
Smogulg,Shamrg
Targigoth,Basra
Klapdud,Logborgob
Oggha,Lumrku
Uggug,Bogrba
Baugh,Ghotn
Pahgorim,Durl
Vakgu,Gamn
Dumbuk,Snambak
Bagamul,Mogdrg
Wapkagut,Noloush
Snaglak,Dumzgub
Zarod,Mararga
Zunuguk,Lagsharzol
Krilge,Grulgk
Hanz,Larguk
Torug,Snaggub
Vrutha,Mogdbug
Speghat,Mogdrga
Durzol,Uftlslag
Opilge,Bargash
Smogulg,Gorturz
Feldgulg,Barahash
Xurl,Ulfiug
Hrolkug,Gamtub
Yamarz,Ugrga
Ug,Bolmilslag
Naguk,Lorrbush
Oghuglat,Lumbh
Supaugh,Loghra
Mauhul,Bagwog
Jregh,Gholgob
Ambilge,Oluamph
Graklak,Buzharz
Vakmu,Moghrkub
Eichelberbog,Lumozor
Korgulg,Yargrat
Drikdarok,Yargr
Wakgut,Orkbug
Epkagut,Ulashnar
Murzol,Ushlslag
Xnurl,Bulalslag
Purbag,Bulailslag
Ewkbanok,Luzdbuk
Bazur,Gaszgub
Yakha,Dragph
Trugagh,Markub
Zurgug,Tralfim
Xaakt,Murzgrak
Gul,Dulaur
Tarod,Orbgak
Cagan,Agufish
Snubub,Burz
Xagu,Bambug
Snubub,Luzgurn
Garekk,Guruok
Ghamorz,Borth
Yambagorn,Lardub
Pakgu,Agumtur
Buggug,Gharob
Vukgilug,Bolahug
Gorgo,Bulalslag
Xokuk,Batugrump
Dalthu,Kharan
Zurghed,Traigob
Koffutto,Ulfiad
Rarfu,Maga
Bulgan,Garlg
Baugh,Glukgob
Speghat,Lagharz
Yregh,Golzol
Ulgan,Garhnar
Smaghed,Golrgak
Fagdud,Durgzgub
Magra,Dugubu
Gharol,Durgilslag
Uluol,Burzrgakh
Bagrim,Shurbush
Borgur,Uzguug
Urogronk,Ogamph
Glan,Golhnikh
Umodub,Bumpkul
Yazmesh,Glorag
Ragbak,Agura
Durgak,Aglish
Bugda,Shazan
Burga,Durozor
Ghadbak,Golok
Rulfa,Dumharzol
Arobamph,Rugdborgob
Batudurash,Dulazag
Yatum,Uzuggarz
Yatub,Agamurz
Lazmesh,Bonuma
Yagnakh,Lurub
Uglaim,Lumrku
Rolzob,Durgrn
Shagk,Bagoul
Slorza,Rushhub
Ushuol,Durgrn
Bumpur,Muzgsharzol
Urzourash,Coblgash
Badbh,Ushazuf
Gulfpha,Maragul
Bagg,Ogdhnag
Voltph,Galahnar
Dulrol,Bugulg
Snaish,Agarg
Mogdtharz,Nolob
Mazgrz,Magugur
Ugakar,Orkrg
Homrg,Bongash
Ugoob,Golpzog
Ulotramph,Murggan
Batush,Cobgob
Rult,Ulffim
Shufz,Brourn
Garaamph,Bumgham
Mornum,Orkrg
Shelur,Durl
Batuash,Guraham
Lamfim,Murggan
Yatarz,Brourn
Urzpha,Dragb
Uglam,Rimla
Mogaha,Urgaug
Rogmbog,Ufthgham
Urzoronk,Orbukh
Bogdonk,Murzzor
Yazgbog,Mogarz
Orbudurz,Rugomakh
Mogahnakh,Naybgum
Bolat,Shazak
Glask,Barobug
Lamzug,Ushlslag
Slozob,Luzim
Bururn,Logrrn
Ogharn,Dulaol
Urzakh,Galadar
Bulronk,Murggan
Ulotrz,Dulaur
Borth,Marolam
Ghaksha,Duroush
Badakh,Gurr
Basug,Gashla
Mogdush,Batilslag
Glasdurash,Rusuma
Bulakh,Buglgul
Rogmth,Bumprba
Gloh,Marolam
Ushdurz,Lumur
Globrog,Yagak
Gharaz,Mulaok
Mazobul,Dragbek
Ushug,Gorz
Orbgar,Larbu
Ulotdbak,Bumplor
Lazak,Orkgdum
Bugdtharz,Rugonikh
Sloat,Crommog
Ugagdub,Kashharzol
Buruba,Badbhol
Gratb,Shuzam
Lazamph,Shakish
Ulumgol,Khagrz
Shaub,Azorish
Lazgh,Tralfim
Snaim,Shamrba
Durgz,Baguolg
Gopi,Kumar
Armaan,Acharya
Anuraaj,Karmakar
Agnivesh,Siddhant
Krish,Mishra
Viveka,Chuahan
Abhineet,Sahu
Debargho,Khatun
Sonas,Hazarika
Poumit,Kandali
Somrat,Rahaman
Sourov,Baruva
Sonu,Gazarika
Harry,Borbarua
Keshow,Hmar
Basudev,Borpuzari
Tonmoy,Adhikary
Sher,Deka
Shyam,Handique
Debu,Malik
Baidyanath,Chawdhuri
Prem,Shah
Bhairab,Guha
Abhishek,Pritam
Agha,Dhekial
Chayan,Gohain
Bhadraksh,Rabha
Parakh,Gazarika
Debesh,Dev
Ananyo,Kotoky
Amolak,Parashar
Divyans,Bezbaroa
Anand,Chakraborty
Aastha,Talukdar
Riyansh,Biswas
Aayan,Borpatrogohain
Sanjoy,Brahma
Avikam,Nath
Biswadeb,Adhikari
Anmay,Borah
Kapil,Daimary
Nimish,Bezborah
Chandragupt,Thapa
Bikromjit,Hussain
Harsha,Kandali
Suji,Baroova
Biswanath,Bora
Bhakti,Nampui
Madan,Basumatary
Rupam,Rabha
Dibakar,Bharali
Sibam,Mahato
Ambuj,Wahid
Amin,Bujarbarua
Harsh,Borboruah
Buddhipriya,Gohain
Babunaj,Agarawala
Suhail,Dev
Bhoumik,Medhi
Tonoy,Guha
Bhagwant,Malik
Aadarsh,Barthakur
Vimol,Dey
Sankar,Sharma
Binayak,Sahu
Suraj,Hoque
Birendra,Chutia
Ankur,Barbhuyan
Kesav,Taimur
Bhuban,Barua
Gaurav,Mahato
Harsha,Dutta
Ashrith,Borooah
Balaaditya,Wahid
Bhabatosh,Barbhuyan
Amarendra,Basumatary
Dayamoy,Borkakoti
Tathagato,Bhattacharya
Athulya,Konwar
Tamesh,Sahu
Rabilochan,Banerjee
Nayan,Phukan
Balwant,Baruah
Robin,Rajput
Anand,Shah
Probin,Nandy
Bidit,Parashar
Shre,Kakati
Anas,Sarma
Abhijit,Agarawala
Hitendra,Daimary
Harish,Singha
Awinash,Dvija
Reeyansh,Mannan
Sadhiq,Majhi
Devendu,Pathak
Smit,Barooah
Aagney,Pradhan
Dishu,Malik
Bidyasagar,Dewan
Nirmola,Thakore
Narjee,Barua
Panya,Rajkhowa
Sudhika,Hazarika
Shyamangi,Taimur
Margi,Upadhyaya
Deblina,Das
Paromita,Baruah
Banmala,Borbarua
Aarati,Borboruah
Eshitha,Shah
Poulambi,Brahma
Najwa,Kalita
Lakshya,Malik
Umber,Dey
Sikta,Dhekial
Bhani,Daimary
Mahi,Bujarbarua
Maharnav,Barooah
Rajitha,Arora
Simarani,Chuahan
Ranjita,Rahaman
Kailyn,Choudhuri
Viha,Chetia
Sunila,Chutia
Abanita,Aata
Niha,Phukan
Mangala,Agarwala
Vamdevi,Chakraborty
Menaha,Detta
Chandani,Sonowal
Namita,Ojah
Hemali,Acharya
Eila,Nayak
Muthu,Gogoi
Adhika,Shah
Darshna,Mannan
Hiranjali,Boruah
Debsmita,Hoque
Rijona,Borkakoti
Zeena,Dewan
Devika,Roy
Subiksha,Taimur
Vaasuki,Saraswati
Samita,Thakore
Susoma,Phookan
Urwashi,Barthakur
Maleah,Pathak
Sonjukta,Nath
Dhanam,Borboruah
Munjula,Guha
Tanay,Borphukan
Vatsala,Borpatragohain
Nipa,Chetia
Rajrupa,Pandey
Ananya,Bhattacharya
Chayana,Kagti
Linarani,Chuahan
Annu,Hmar
Dhanita,Dhekial
Sayoni,Boruah
Gemine,Pritam
Babina,Nandy
Suwarni,Vipra
Sadhana,Dev
Pranjali,Barthakur
Mondipa,Thakore
Vijiya,Choudhuri
Shakira,Phookan
Nidhi,Borbora
Dina,Barooah
Atreyee,Borpatragohain
Sawitri,Dev
Ananthi,Sarmah
Samrithi,Thakore
Sondhya,Neog
Savree,Duwara
Nancy,Miri
Sushmita,Shah
Sanju,Rajkhowa
Hitashri,Basumatary
Leelavati,Nandy
Krupa,Sarma
Moumon,Pathak
Srabonti,Borphukan
Debosree,Wahid
Sushrita,Chatterjee
Chandrabati,Biswas
Nirosha,Hussain
Shakshi,Brahma
Meghna,Dewan
Shrushti,Bora
Agastya,Bharali
Mita,Kandali
Menka,Nampui
Urmee,Borgohainn
Deepanti,Debnath
Holika,Pathak
Moromi,Chetri
Anasuya,Dhekial
